id,incidence_date,conflict_type_id,country_id,region_id,state_id,lga_id,community,civilian_death_male,civilian_death_female,civilian_death_unknown,security_death_male,security_death_female,security_death_unknown,injured_male,injured_female,injured_unknown,kidnapped_male,kidnapped_female,kidnapped_unknown,displaced_persons,displaced_male,displaced_female,actor_1,actor_2,actor_3,description,action,highway_roads_water,confirmation_verification,verification_level,source_url,source_contact_details,source_contact_pictures,source_metadata,data_source,reporter_id,created_at,updated_at,deleted_at
2495,2022-07-19,2,1,3,17,340,Ruwan Godiya,0,0,5,0,0,\N,0,0,\N,0,0,\N,No,0,0,2,4,22,"Bandits kill 5, injure many in attack on Katsina village",attack,\N,Eye Witness,1,https://www.vanguardngr.com/2022/07/bandits-kill-6-injure-scores-rustle-several-animals-in-katsina/,\N,\N,Sources: Vanguard,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2496,2022-07-19,2,1,2,13,230,Kuchibuyi,0,0,\N,0,0,\N,0,0,\N,0,0,1,No,0,0,7,4,22,Unknown gunmen kidnap Traditional ruler in Abuja,attack,\N,"Confirmed by the Area Commander in Kubwa, ACP Muhammad Ndagi",1,https://www.vanguardngr.com/2022/07/unknown-gunmen-kidnap-traditional-ruler-in-abuja/,\N,\N,Sources: Vanguard,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2497,2022-07-19,9,1,6,36,712,Ifewara,0,0,\N,0,0,\N,0,0,\N,0,0,1,No,0,0,14,4,22,Kidnappers abduct bread seller in Osun State,attack,\N,"Confirmed by the Public Relations Officer, Yemisi Opalola",1,https://www.vanguardngr.com/2022/07/kidnappers-demand-n-5m-for-abducted-bread-seller/,\N,\N,Sources: Vanguard,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2498,2022-07-19,6,1,6,37,774,Jabata,0,0,\N,0,0,\N,0,0,\N,0,0,1,No,0,0,8,4,22,Fulani herdsmen abduct farm supervisor at Alao-Akala’s farm,attack,\N,Eye Witness,1,https://www.vanguardngr.com/2022/07/fulani-herdsmen-abduct-farm-supervisor-at-alao-akalas-farm/,\N,\N,Sources: Vanguard,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2499,2022-07-19,2,1,3,15,262,Kidunu,0,0,1,0,0,\N,0,0,\N,0,0,\N,No,0,0,21,2,22,"Security Operatives Kill Notorious Bandit In Kaduna, Recover Arms",attack,\N,"Confirmed by the Commissioner for Internal Security and Home Affairs in the state, Samuel Aruwan",1,https://www.channelstv.com/2022/07/19/security-operatives-kill-notorious-bandit-in-kaduna-recover-arms/,\N,\N,Sources: channelstv,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2500,2022-07-20,5,1,6,36,741,Oke-Baale,0,0,1,0,0,\N,0,0,\N,0,0,\N,No,0,0,24,4,22,Suspected cultists attack middle-aged man in Osogbo,attack,\N,Eye Witness,1,https://guardian.ng/news/suspected-cultists-attack-middle-aged-man-in-osogbo/,\N,\N,Sources: The Guardian,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2501,2022-07-20,2,1,2,8,147,Obajana,0,0,\N,0,0,\N,0,0,\N,0,0,10,No,0,0,2,21,22,10 police officers kidnapped by Bandits in Kogi,attack,\N,Eye Witness,1,https://guardian.ng/news/bandits-abduct-10-nasarawa-police-officers-on-their-way-from-osun-election/,\N,\N,Sources: The Guardian,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2502,2022-07-20,8,1,5,31,624,Elibrada,0,0,2,0,0,\N,0,0,\N,0,0,\N,No,0,0,7,11,22,Gunmen kill Rivers vigilante and another,attack,\N,"Confirmed by the command’s spokesperson, Grace Iringe-koko",1,https://punchng.com/gunmen-kill-rivers-vigilante-other/,\N,\N,Sources: Punch,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2503,2022-07-20,8,1,5,28,556,Ikot Effanga,0,0,1,0,0,\N,0,0,1,0,0,\N,No,0,0,7,4,22,"Gunmen shoot students of Cross River private varsity, abduct one and injure one",attack,\N,"Confirmed by the Commissioner of Police, Aminu Alhassan",1,https://dailypost.ng/2022/07/20/gunmen-shoot-students-of-cross-river-private-varsity-abduct-one/,\N,\N,Sources: Daily post,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2504,2022-07-21,2,1,3,17,346,Gatikawa,0,0,3,0,0,5,0,0,\N,0,0,\N,No,0,0,2,21,4,"Bandits kill 5 police officers, 3 others in Katsina",attack,\N,"Confirmed by the police spokesperson in the state, SP Gambo Isah",1,https://www.vanguardngr.com/2022/07/bandits-kill-5-police-officers-four-others-in-katsina-2/,\N,\N,Sources: Vanguard,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2505,2022-07-22,2,1,1,2,24,Gizaki,0,0,\N,0,0,\N,0,0,\N,0,0,1,No,0,0,8,4,22,Gunmen suspected to be Fulani herders kidnap 25-year-old pregnant woman in Bauchi,attack,\N,"Confirmed by the Bauchi State Police Command PPRO, SP Ahmed Wakili",1,https://dailypost.ng/2022/07/22/unknown-gunmen-kidnap-25-year-old-pregnant-woman-in-bauchi/,\N,\N,Sources: Daily post,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2506,2022-07-22,12,1,2,11,800,Kuchi,0,0,\N,0,0,\N,0,0,\N,0,0,50,No,0,0,10,4,22,Terrorists abduct 50 in Niger community,attack,\N,"Confirmed by the state Commissioner for Internal Security and Humanitarian Affairs, Emmanuel Umar",1,https://punchng.com/terrorists-abduct-50-in-niger-community/,\N,\N,Sources: Punch,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2507,2022-07-22,8,1,4,24,478,Unknown,0,0,\N,0,0,\N,0,0,\N,0,0,\N,No,0,0,7,21,22,Police repel gunmen attack on station in Enugu,attack,\N,"Confirmed by the state police Spokesman, Daniel Ndukwe",1,https://www.sunnewsonline.com/police-repel-gunmen-attack-on-station-in-enugu/,\N,\N,Sources: The Sun,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2508,2022-07-23,8,1,6,37,774,Gbede,0,0,\N,0,0,\N,0,0,\N,0,0,1,No,0,0,7,4,22,Gunmen kidnap Doctor in Surulere LG,attack,\N,"Confirmed by Public Relations Officer of the state police command, Adewale Osifeso",1,https://dailypost.ng/2022/07/23/oyo-gunmen-kidnap-another-person-in-surulere-lg/,\N,\N,Sources: Daily post,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2509,2022-07-23,2,1,2,11,800,Kuti,0,0,\N,0,0,\N,0,0,\N,0,0,9,No,0,0,2,4,22,Bandits Kidnap Nine From Niger Village,attack,\N,"Confirmed by Police Public Relations Officer, Niger Police Command, Wasiu Abiodun",1,https://www.channelstv.com/2022/07/23/bandits-kidnap-nine-from-niger-village-police-rescue-four/,\N,\N,Sources: channelstv,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2510,2022-07-23,4,1,6,37,872,Ofatedo,0,0,1,0,0,\N,0,0,\N,0,0,\N,No,0,0,24,4,22,Suspected cultists kill man in Osun,attack,\N,"Confirmed by the Osun state Police Command’s Public Relations Officer, Yemisi Opalola",1,https://www.vanguardngr.com/2022/07/suspected-cultists-kill-man-in-osun/,\N,\N,Sources: Vanguard,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2511,2022-07-23,2,1,1,1,18,Bannga,0,0,1,0,0,\N,0,0,1,0,0,\N,No,0,0,7,4,22,"Gunmen Kill Adamawa Lawmaker, Shoot Son",attack,\N,"Confirmed by the Police Public Relations Officer, Adamawa Command Superintendent of Police Suleiman Nguroje",1,https://www.channelstv.com/2022/07/23/gunmen-kill-adamawa-lawmaker-shoot-son/,\N,\N,Sources: channelstv,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2512,2022-07-23,2,1,1,2,24,Gizaki,0,0,\N,0,0,\N,0,0,\N,0,0,1,No,0,0,7,4,22,Gunmen Kidnap 25-Year-Old Pregnant Woman in Bauchi,attack,\N,"Confirmed by the state command Police Public Relations Officer (PPRO), SP Ahmed Wakili",1,https://www.thisdaylive.com/index.php/2022/07/23/gunmen-kidnap-25-year-old-pregnant-woman-in-bauchi/,\N,\N,Sources: Thisday,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2513,2022-07-23,8,1,2,12,214,Fusa,0,0,5,0,0,\N,0,0,\N,0,0,\N,No,0,0,7,4,22,Gunmen kill 5 persons in Plateau,attack,\N,"Confirmed by DSP Alfred Alabo, the Police Public Relations Officer (PPRO) of the command",1,https://www.vanguardngr.com/2022/07/gunmen-kill-5-persons-in-plateau-police/,\N,\N,Sources: Vanguard,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2514,2022-07-24,2,1,3,15,263,Timburku,0,0,2,0,0,\N,0,0,\N,0,0,\N,No,0,0,21,2,22,"Police kill 2 bandits, recover AK-47 rifle",attack,\N,"Confirmed by the Command’s Spokesperson, DSP Mohammed Jalige",1,https://dailypost.ng/2022/07/24/kaduna-police-kill-bandits-recover-ak-47-rifle-others/,\N,\N,Sources: Daily post,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2515,2022-07-24,2,1,3,17,343,Unknown,0,0,1,0,0,\N,0,0,\N,0,0,\N,No,0,0,2,4,22,"Bandits attack Katsina transport Authority Bus, Kill Driver",attack,Katsina-Jibia,Eye Witness,1,https://www.channelstv.com/2022/07/24/bandits-attack-katsina-transport-authority-bus-kill-driver-abduct-passengers/,\N,\N,Sources: channelstv,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
