id,incidence_date,conflict_type_id,country_id,region_id,state_id,lga_id,community,civilian_death_male,civilian_death_female,civilian_death_unknown,security_death_male,security_death_female,security_death_unknown,injured_male,injured_female,injured_unknown,kidnapped_male,kidnapped_female,kidnapped_unknown,displaced_persons,displaced_male,displaced_female,actor_1,actor_2,actor_3,description,action,highway_roads_water,confirmation_verification,verification_level,source_url,source_contact_details,source_contact_pictures,source_metadata,data_source,reporter_id,created_at,updated_at,deleted_at
455,'2021-03-31',2,1,3,15,262,'Ungwan Yako',0,0,6,0,0,\N,0,0,4,0,0,\N,'No',0,0,2,4,22,'Bandits kill 6','attack',\N,"'Confirmed by the The Commissioner for Internal Security and Home Affairs in Kaduna, Samuel Aruwan'",'1','https://www.thisdaylive.com/index.php/2021/03/31/bandits-kill-eight-injure-four-in-kaduna/',\N,\N,'Sources: Thisday','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
456,'2021-03-31',2,1,3,15,272,'Iburu',0,0,1,0,0,\N,0,0,\N,0,0,\N,'No',0,0,2,4,22,'Bandits kill 1','attack',\N,"'Confirmed by the The Commissioner for Internal Security and Home Affairs in Kaduna, Samuel Aruwan'",'1','https://www.thisdaylive.com/index.php/2021/03/32/bandits-kill-eight-injure-four-in-kaduna/',\N,\N,'Sources: Thisday','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
457,'2021-03-31',2,1,3,15,263,'Hayin Kanwa',0,0,1,0,0,\N,0,0,\N,0,0,\N,'No',0,0,2,4,22,'Bandits kill 1','attack',\N,"'Confirmed by the The Commissioner for Internal Security and Home Affairs in Kaduna, Samuel Aruwan'",'1','https://www.thisdaylive.com/index.php/2021/03/33/bandits-kill-eight-injure-four-in-kaduna/',\N,\N,'Sources: Thisday','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
458,'2021-04-01',2,1,3,15,261,'Gayam',0,0,1,0,0,\N,0,0,\N,0,0,\N,'No',0,0,2,4,22,'Bandits kill Ex-councillor','attack',\N,"'Confirmed by the The Commissioner for Internal Security and Home Affairs in Kaduna, Samuel Aruwan'",'1','https://guardian.ng/news/bandits-kill-ex-councillor-in-kaduna-state/',\N,\N,'Sources: The Guardian | Other: https://guardian.ng/news/bandits-kill-ex-councillor-in-kaduna-state/','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
459,'2021-04-01',2,1,2,11,207,'Allawa',0,0,\N,0,0,6,0,0,\N,0,0,\N,'No',0,0,2,21,22,'Bandits kill 6 security operatives in attck Niger Community','attack',\N,'Eye Witness','1','https://thenationonlineng.net/bandits-kill-five-soldiers-two-others-in-niger/',\N,\N,'Sources: The Nation','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
460,'2021-04-01',2,1,2,11,207,"'Manta, Gurmana and Bassa'",0,0,1,0,0,\N,0,0,\N,0,0,4,'No',0,0,2,4,22,'Bandits kill 1 abduct 4 in attack on Niger state commuities','attack',\N,'Eye Witness','1','https://thenationonlineng.net/bandits-kill-five-soldiers-two-others-in-niger/',\N,\N,'Sources: The Nation','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
461,'2021-04-01',2,1,3,15,272,'Kasuwan Magani',0,0,1,0,0,\N,0,0,\N,0,0,\N,'No',0,0,2,4,22,'Bandits kill 1','attack',\N,"'Confirmed by the The Commissioner for Internal Security and Home Affairs in Kaduna, Samuel Aruwan'",'1','https://guardian.ng/news/bandits-kill-ex-councillor-in-kaduna-state/',\N,\N,'Sources: The Guardian','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
462,'2021-04-01',2,1,1,3,48,'Azir',0,0,1,0,0,\N,0,0,\N,0,0,\N,'No',0,0,2,4,22,'Bandits kill 1','attack',\N,"'Confirmed by the The District Head of Damboa, Zanna Lawan Maina'",'1','https://www.vanguardngr.com/2021/04/boko-haram-kill-one-loot-foodstuff-in-borno-lg/',\N,\N,'Sources: Vanguard','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
463,'2021-04-02',12,1,1,3,65,'Nganzai',0,0,8,0,0,\N,0,0,\N,0,0,\N,'No',0,0,21,3,22,'Security forces kill 8 insurgents','attack',\N,'Eye Witness','1','http://saharareporters.com/2021/04/02/eight-killed-many-injured-boko-haram-terrorists-ambush-borno-government-officials',\N,\N,'Sources: Saharareporters','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
464,'2021-04-03',2,1,2,10,179,'Garaku',0,0,2,0,0,\N,0,0,\N,0,0,\N,'No',0,0,2,4,22,'Bandits kill two Macban Leaders','attack',\N,"'Confirmed by the the command’s Public Relations Officer, ASP Ramhan Nansel'",'1','https://guardian.ng/news/bandits-kill-nasarawa-macban-chairman-1-other-police/',\N,\N,'Sources: The Guardian','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
465,'2021-04-03',5,1,1,5,809,'Baka',0,0,5,0,0,\N,0,0,\N,0,0,\N,'No',0,0,21,4,22,'Security forces kill 5 youths','attack',\N,"'Confirmed by the Deputy Speaker of  the state House of Assembly, Hamman Adama'",'1','https://guardian.ng/news/soldiers-kill-five-youths-in-taraba/',\N,\N,'Sources: The Guardian','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
466,'2021-04-03',5,1,2,7,121,'Tse Ugir',0,0,9,0,0,\N,0,0,\N,0,0,\N,'No',0,0,21,4,22,'Security forces kill 9 youths','attack',\N,'Eye Witness','1','http://saharareporters.com/2021/04/03/nigerian-soldiers-allegedly-kill-nine-youths-arrested-during-burial-ceremony-benue',\N,\N,'Sources: Saharareporters','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
467,'2021-04-04',8,1,4,25,507,'Afor Umuaka',0,0,4,0,0,\N,0,0,\N,0,0,\N,'No',0,0,7,4,22,'Bandits kill 4 suya sellers','attack',\N,"'Confirmed by the  Senior Special Assistant to the Governor of Imo State on Gender, Vulnerable Groups, Northern Affairs (Men), Hon. Sulaiman Ibrahim Sulaiman'",'1','https://dailytrust.com/tension-as-7-northern-traders-are-shot-dead-in-imo',\N,\N,'Sources: Daily trust','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
468,'2021-04-04',8,1,4,25,500,'Umuaka',0,0,3,0,0,\N,0,0,\N,0,0,\N,'No',0,0,7,4,22,'Bandits kill 3','attack',\N,"'Confirmed by the  Senior Special Assistant to the Governor of Imo State on Gender, Vulnerable Groups, Northern Affairs (Men), Hon. Sulaiman Ibrahim Sulaiman'",'1','https://dailytrust.com/tension-as-7-northern-traders-are-shot-dead-in-imo',\N,\N,'Sources: Daily trust','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
469,'2021-04-05',5,1,4,25,490,'Aba Branch',0,0,3,0,0,\N,0,0,\N,0,0,\N,'No',0,0,4,4,18,'Man shoots 2 people and is killed by a mob','armed clash',\N,"'Confirmed by the police spokesperson in the state, Orlando Ikeokwu'",'1','https://punchng.com/mob-beats-man-to-death-for-killing-two-over-n50-bet-in-imo/',\N,\N,'Sources: Punch','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
